First name,Sur name,Issue count,Date of birth
Theo,Williams,18,1902-02-26T00:00:00
Fiona,Brown,46,1989-08-12T00:00:00
John,Williams,29,2016-12-25T00:00:00
Theo,Williams,40,1902-02-26T00:00:00
Theo,Williams,10,1902-02-26T00:00:00
John,Williams,41,2016-12-25T00:00:00
Fiona,Smith,1,1958-08-26T00:00:00
John,Williams,13,2016-12-25T00:00:00
Theo,Smith,11,1970-12-25T00:00:00
Noah,Miller,47,1906-02-10T00:00:00
Fiona,Jones,21,1916-04-11T00:00:00
Fiona,Smith,46,1958-08-26T00:00:00
Emma,Miller,12,1921-11-27T00:00:00
Emma,Miller,35,1921-11-27T00:00:00
Fiona,Brown,20,1989-08-12T00:00:00
Noah,Miller,41,1906-02-10T00:00:00
Noah,Miller,9,1906-02-10T00:00:00
Fiona,Brown,7,1989-08-12T00:00:00
Fiona,Brown,31,1989-08-12T00:00:00
Noah,Miller,27,1906-02-10T00:00:00
Fiona,Brown,45,1989-08-12T00:00:00
John,Williams,25,2016-12-25T00:00:00
Noah,Miller,16,1906-02-10T00:00:00
Noah,Miller,32,1906-02-10T00:00:00
Fiona,Johnson,17,1935-11-29T00:00:00
Theo,Smith,17,1970-12-25T00:00:00
Fiona,Johnson,11,1935-11-29T00:00:00
Fiona,Jones,30,1916-04-11T00:00:00
James,Brown,14,1912-09-10T00:00:00
Fiona,Brown,35,1989-08-12T00:00:00
John,Williams,12,2016-12-25T00:00:00
Fiona,Smith,32,1958-08-26T00:00:00
Fiona,Brown,49,1989-08-12T00:00:00
Fiona,Brown,25,1989-08-12T00:00:00
Fiona,Jones,22,1916-04-11T00:00:00
James,Brown,43,1912-09-10T00:00:00
Noah,Miller,12,1906-02-10T00:00:00
Theo,Williams,45,1902-02-26T00:00:00
Emma,Miller,29,1921-11-27T00:00:00
Emma,Miller,23,1921-11-27T00:00:00
Fiona,Smith,26,1958-08-26T00:00:00
Noah,Miller,20,1906-02-10T00:00:00
John,Williams,21,2016-12-25T00:00:00
Fiona,Brown,9,1989-08-12T00:00:00
Fiona,Brown,33,1989-08-12T00:00:00
Theo,Smith,3,1970-12-25T00:00:00
Fiona,Smith,12,1958-08-26T00:00:00
Fiona,Jones,3,1916-04-11T00:00:00
Emma,Miller,42,1921-11-27T00:00:00
Fiona,Smith,21,1958-08-26T00:00:00
Theo,Williams,1,1902-02-26T00:00:00
Theo,Smith,21,1970-12-25T00:00:00
Theo,Williams,3,1902-02-26T00:00:00
Fiona,Smith,32,1958-08-26T00:00:00
Theo,Williams,11,1902-02-26T00:00:00
Fiona,Brown,46,1989-08-12T00:00:00
Emma,Miller,6,1921-11-27T00:00:00
Theo,Smith,18,1970-12-25T00:00:00
Fiona,Brown,12,1989-08-12T00:00:00
Fiona,Brown,8,1989-08-12T00:00:00
Fiona,Smith,21,1958-08-26T00:00:00
Theo,Williams,39,1902-02-26T00:00:00
Fiona,Brown,1,1989-08-12T00:00:00
Fiona,Johnson,39,1935-11-29T00:00:00
Theo,Williams,8,1902-02-26T00:00:00
Noah,Miller,27,1906-02-10T00:00:00
James,Brown,7,1912-09-10T00:00:00
James,Brown,4,1912-09-10T00:00:00
Noah,Miller,13,1906-02-10T00:00:00
Theo,Williams,14,1902-02-26T00:00:00
Fiona,Jones,4,1916-04-11T00:00:00
Fiona,Smith,29,1958-08-26T00:00:00
Fiona,Brown,3,1989-08-12T00:00:00
Emma,Miller,19,1921-11-27T00:00:00
Fiona,Brown,4,1989-08-12T00:00:00
Fiona,Jones,27,1916-04-11T00:00:00
Theo,Williams,41,1902-02-26T00:00:00
James,Brown,36,1912-09-10T00:00:00
Emma,Miller,48,1921-11-27T00:00:00
Noah,Miller,9,1906-02-10T00:00:00
Theo,Smith,46,1970-12-25T00:00:00
Theo,Smith,22,1970-12-25T00:00:00
Theo,Williams,7,1902-02-26T00:00:00
Fiona,Brown,48,1989-08-12T00:00:00
Fiona,Smith,49,1958-08-26T00:00:00
Fiona,Jones,21,1916-04-11T00:00:00
Fiona,Smith,33,1958-08-26T00:00:00
Fiona,Jones,40,1916-04-11T00:00:00
John,Williams,8,2016-12-25T00:00:00
Fiona,Jones,34,1916-04-11T00:00:00
Theo,Williams,29,1902-02-26T00:00:00
Noah,Miller,5,1906-02-10T00:00:00
Fiona,Brown,4,1989-08-12T00:00:00
James,Brown,15,1912-09-10T00:00:00
Fiona,Brown,12,1989-08-12T00:00:00
Noah,Miller,5,1906-02-10T00:00:00
Fiona,Jones,38,1916-04-11T00:00:00
Theo,Williams,16,1902-02-26T00:00:00
John,Williams,42,2016-12-25T00:00:00
Noah,Miller,7,1906-02-10T00:00:00
Theo,Smith,1,1970-12-25T00:00:00
Emma,Miller,40,1921-11-27T00:00:00
Fiona,Brown,24,1989-08-12T00:00:00
Noah,Miller,41,1906-02-10T00:00:00
Noah,Miller,39,1906-02-10T00:00:00
James,Brown,31,1912-09-10T00:00:00
Emma,Miller,5,1921-11-27T00:00:00
Emma,Miller,18,1921-11-27T00:00:00
Fiona,Jones,1,1916-04-11T00:00:00
Noah,Miller,20,1906-02-10T00:00:00
Theo,Smith,25,1970-12-25T00:00:00
Theo,Williams,33,1902-02-26T00:00:00
John,Williams,21,2016-12-25T00:00:00
Fiona,Johnson,6,1935-11-29T00:00:00
Fiona,Johnson,10,1935-11-29T00:00:00
Theo,Smith,44,1970-12-25T00:00:00
Fiona,Brown,7,1989-08-12T00:00:00
Fiona,Brown,42,1989-08-12T00:00:00
James,Brown,10,1912-09-10T00:00:00
Theo,Williams,14,1902-02-26T00:00:00
John,Williams,10,2016-12-25T00:00:00
Fiona,Smith,25,1958-08-26T00:00:00
Theo,Smith,35,1970-12-25T00:00:00
Fiona,Smith,23,1958-08-26T00:00:00
James,Brown,24,1912-09-10T00:00:00
Fiona,Johnson,36,1935-11-29T00:00:00
Theo,Williams,39,1902-02-26T00:00:00
Noah,Miller,48,1906-02-10T00:00:00
James,Brown,35,1912-09-10T00:00:00
John,Williams,41,2016-12-25T00:00:00
Fiona,Jones,26,1916-04-11T00:00:00
James,Brown,50,1912-09-10T00:00:00
Fiona,Smith,26,1958-08-26T00:00:00
Fiona,Brown,31,1989-08-12T00:00:00
Theo,Williams,46,1902-02-26T00:00:00
James,Brown,17,1912-09-10T00:00:00
Fiona,Smith,11,1958-08-26T00:00:00
Fiona,Jones,36,1916-04-11T00:00:00
Fiona,Johnson,41,1935-11-29T00:00:00
Emma,Miller,27,1921-11-27T00:00:00
Noah,Miller,42,1906-02-10T00:00:00
Fiona,Brown,46,1989-08-12T00:00:00
Theo,Williams,31,1902-02-26T00:00:00
Fiona,Smith,43,1958-08-26T00:00:00
James,Brown,13,1912-09-10T00:00:00
Theo,Williams,14,1902-02-26T00:00:00
Fiona,Jones,13,1916-04-11T00:00:00
Fiona,Brown,18,1989-08-12T00:00:00
Theo,Smith,8,1970-12-25T00:00:00
James,Brown,45,1912-09-10T00:00:00
James,Brown,5,1912-09-10T00:00:00
Theo,Smith,29,1970-12-25T00:00:00
Fiona,Jones,25,1916-04-11T00:00:00
Noah,Miller,5,1906-02-10T00:00:00
Fiona,Brown,10,1989-08-12T00:00:00
Emma,Miller,10,1921-11-27T00:00:00
Emma,Miller,9,1921-11-27T00:00:00
John,Williams,43,2016-12-25T00:00:00
Theo,Smith,34,1970-12-25T00:00:00
Fiona,Jones,48,1916-04-11T00:00:00
Theo,Williams,11,1902-02-26T00:00:00
Fiona,Brown,22,1989-08-12T00:00:00
Noah,Miller,17,1906-02-10T00:00:00
Noah,Miller,38,1906-02-10T00:00:00
Fiona,Smith,40,1958-08-26T00:00:00
James,Brown,20,1912-09-10T00:00:00
Theo,Smith,11,1970-12-25T00:00:00
Noah,Miller,48,1906-02-10T00:00:00
James,Brown,33,1912-09-10T00:00:00
Theo,Smith,40,1970-12-25T00:00:00
Fiona,Jones,20,1916-04-11T00:00:00
Fiona,Brown,17,1989-08-12T00:00:00
Theo,Smith,7,1970-12-25T00:00:00
Fiona,Jones,33,1916-04-11T00:00:00
Fiona,Brown,43,1989-08-12T00:00:00
Emma,Miller,16,1921-11-27T00:00:00
Fiona,Johnson,15,1935-11-29T00:00:00
John,Williams,19,2016-12-25T00:00:00
James,Brown,49,1912-09-10T00:00:00
Fiona,Brown,41,1989-08-12T00:00:00
Emma,Miller,15,1921-11-27T00:00:00
Fiona,Brown,29,1989-08-12T00:00:00
Noah,Miller,47,1906-02-10T00:00:00
John,Williams,13,2016-12-25T00:00:00
Fiona,Smith,15,1958-08-26T00:00:00
Fiona,Johnson,6,1935-11-29T00:00:00
James,Brown,29,1912-09-10T00:00:00
Theo,Smith,41,1970-12-25T00:00:00
Fiona,Jones,34,1916-04-11T00:00:00
John,Williams,30,2016-12-25T00:00:00
Fiona,Smith,14,1958-08-26T00:00:00
Noah,Miller,50,1906-02-10T00:00:00
Theo,Williams,36,1902-02-26T00:00:00
Fiona,Brown,35,1989-08-12T00:00:00
Noah,Miller,45,1906-02-10T00:00:00
Emma,Miller,50,1921-11-27T00:00:00
Fiona,Brown,16,1989-08-12T00:00:00
James,Brown,28,1912-09-10T00:00:00
Fiona,Brown,47,1989-08-12T00:00:00
Emma,Miller,44,1921-11-27T00:00:00
John,Williams,38,2016-12-25T00:00:00
John,Williams,7,2016-12-25T00:00:00
Theo,Williams,32,1902-02-26T00:00:00
Fiona,Brown,2,1989-08-12T00:00:00
Fiona,Johnson,45,1935-11-29T00:00:00
Theo,Smith,43,1970-12-25T00:00:00
James,Brown,23,1912-09-10T00:00:00
John,Williams,17,2016-12-25T00:00:00
Theo,Williams,18,1902-02-26T00:00:00
Fiona,Brown,34,1989-08-12T00:00:00
John,Williams,33,2016-12-25T00:00:00
Fiona,Smith,40,1958-08-26T00:00:00
Noah,Miller,14,1906-02-10T00:00:00
Theo,Williams,30,1902-02-26T00:00:00
Fiona,Johnson,4,1935-11-29T00:00:00
Fiona,Johnson,36,1935-11-29T00:00:00
Fiona,Jones,43,1916-04-11T00:00:00
Noah,Miller,10,1906-02-10T00:00:00
Theo,Smith,13,1970-12-25T00:00:00
Fiona,Johnson,16,1935-11-29T00:00:00
Theo,Williams,20,1902-02-26T00:00:00
Fiona,Smith,20,1958-08-26T00:00:00
Theo,Williams,16,1902-02-26T00:00:00
Fiona,Jones,36,1916-04-11T00:00:00
Fiona,Brown,20,1989-08-12T00:00:00
Theo,Williams,42,1902-02-26T00:00:00
Fiona,Smith,8,1958-08-26T00:00:00
James,Brown,41,1912-09-10T00:00:00
Fiona,Johnson,50,1935-11-29T00:00:00
Fiona,Johnson,26,1935-11-29T00:00:00
Noah,Miller,34,1906-02-10T00:00:00
James,Brown,23,1912-09-10T00:00:00
Fiona,Brown,40,1989-08-12T00:00:00
Fiona,Jones,22,1916-04-11T00:00:00
Fiona,Johnson,18,1935-11-29T00:00:00
Theo,Smith,8,1970-12-25T00:00:00
Fiona,Johnson,27,1935-11-29T00:00:00
Fiona,Johnson,33,1935-11-29T00:00:00
Fiona,Johnson,40,1935-11-29T00:00:00
Theo,Williams,32,1902-02-26T00:00:00
Noah,Miller,37,1906-02-10T00:00:00
